step,train,valid,trainavg,validavg
1,29.0000021458,31.6666662693,30.1600003242,30.7500004768
2,30.0000011921,30.8333337307,30.1600003242,30.7500004768
3,31.5999984741,30.4166674614,30.1600003242,30.7500004768
4,26.9999980927,31.6666662693,30.8399999142,30.1666676998
5,33.2000017166,29.1666686535,31.0000002384,28.9166676998
6,32.4000000954,28.7500023842,31.2800002098,28.4166669846
7,30.8000028133,24.5833337307,31.6400003433,28.0833339691
8,32.9999983311,27.9166638851,32.4800002575,27.5833332539
9,28.7999987602,30.0000011921,33.0799996853,27.5
10,37.4000012875,26.6666650772,34.1199994087,28.083332777
11,35.3999972343,28.3333361149,34.0799999237,29.416667223
12,36.0000014305,27.4999976158,35.8000004292,29.1666674614
13,32.800000906,34.5833361149,35.759999752,30.1666676998
14,37.4000012875,28.7500023842,35.6400001049,30.5833339691
15,37.1999979019,31.6666662693,36.1599993706,30.9166681767
16,34.7999989986,30.4166674614,37.0399987698,29.5000004768
17,38.5999977589,29.1666686535,36.2799990177,30.0833332539
18,37.1999979019,27.4999976158,36.1999988556,29.5833337307
19,33.6000025272,31.6666662693,36.6799986362,29.8333334923
20,36.7999970913,29.1666686535,36.1199986935,29.4166660309
21,37.1999979019,31.6666662693,35.7199990749,29.7500002384
22,35.799998045,27.0833313465,36.6799986362,29.5833337307
23,35.1999998093,29.1666686535,36.2799990177,29.9166667461
24,38.4000003338,30.8333337307,36.6799998283,29.8333334923
25,34.7999989986,30.8333337307,37.1600008011,29.7500002384
26,39.200001955,31.25,37.6800012589,29.8333334923
27,38.2000029087,26.6666650772,38.0400013924,29.7500002384
28,37.8000020981,29.5833349228,38.7200021744,29.5000004768
29,40.2000010014,30.4166674614,38.5200023651,29.0833342075
30,38.2000029087,29.5833349228,38.440002203,29.7500014305
31,38.2000029087,29.1666686535,37.9600012302,29.9166679382
32,37.8000020981,30.0000011921,37.5600016117,29.416667223
33,35.3999972343,30.4166674614,38.2800006866,29.9166667461
34,38.2000029087,27.9166638851,38.4399998188,30.0833332539
35,41.7999982834,32.0833325386,39.4399988651,30
36,38.9999985695,30.0000011921,40.1199996471,30
37,42.7999973297,29.5833349228,40.3999996185,30.083334446
38,38.8000011444,30.4166674614,40.3199994564,29.0833342075
39,39.6000027657,28.3333361149,40.8399999142,28.9166676998
40,41.3999974728,27.0833313465,40.5599999428,29.1666674614
41,41.6000008583,29.1666686535,40.6799995899,29.416667223
42,41.3999974728,30.8333337307,40.9999990463,30
43,39.3999993801,31.6666662693,40.1599991322,30.5833339691
44,41.2000000477,31.25,39.5599985123,31.0833334923
45,37.1999979019,30.0000011921,39.2399990559,31.0833334923
46,38.5999977589,31.6666662693,39.4399988651,31.0000002384
