Epoch,Training accuracy,Validation accuracy
1,11.650002002716064,12.604165077209473
2,14.300000667572021,12.916666269302368
3,13.099998235702515,14.166665077209473
4,15.299999713897705,15.208333730697632
5,16.350001096725464,13.437497615814209
6,16.649997234344482,16.66666865348816
7,15.450000762939453,15.833336114883423
8,18.300002813339233,16.14583134651184
9,16.100001335144043,16.14583134651184
10,15.549999475479126,14.999997615814209
11,18.34999918937683,16.458332538604736
12,16.100001335144043,14.895832538604736
13,13.099998235702515,14.791667461395264
14,16.200000047683716,16.458332538604736
15,18.34999918937683,17.81250238418579
16,17.69999861717224,17.604166269302368
17,16.750001907348633,16.770833730697632
18,17.000001668930054,17.604166269302368
19,16.79999828338623,18.75
20,16.200000047683716,14.999997615814209
21,17.000001668930054,17.916667461395264
22,17.84999966621399,16.979163885116577
23,17.1999990940094,17.291665077209473
24,18.34999918937683,17.1875
25,18.34999918937683,16.979163885116577
26,16.600000858306885,16.979163885116577
27,16.79999828338623,15.937501192092896
28,17.250001430511475,16.458332538604736
29,18.000000715255737,16.354167461395264
30,18.000000715255737,17.70833134651184
31,19.300001859664917,18.12499761581421
32,17.69999861717224,17.81250238418579
33,17.84999966621399,17.083334922790527
34,19.199997186660767,16.66666865348816
35,17.650002241134644,16.979163885116577
36,18.300002813339233,16.874998807907104
37,15.799999237060547,15.208333730697632
38,20.3499972820282,18.958336114883423
39,18.800002336502075,16.56249761581421
40,18.650001287460327,16.770833730697632
41,18.800002336502075,17.1875
42,16.699999570846558,14.166665077209473
43,17.04999804496765,15.937501192092896
44,18.50000023841858,16.458332538604736
45,17.549997568130493,16.458332538604736
46,18.049997091293335,16.25000238418579
47,18.34999918937683,16.354167461395264
48,18.650001287460327,16.25000238418579
49,18.75,16.66666865348816
50,19.499999284744263,16.66666865348816
51,19.849997758865356,17.1875
52,19.450002908706665,17.395836114883423
53,21.35000228881836,18.12499761581421
54,13.899999856948853,12.916666269302368
55,17.84999966621399,16.770833730697632
56,19.550001621246338,16.979163885116577
57,20.099997520446777,17.291665077209473
58,18.550002574920654,16.770833730697632
59,19.80000138282776,17.1875
60,19.950002431869507,16.770833730697632
61,19.199997186660767,17.604166269302368
62,19.199997186660767,16.770833730697632
63,20.749998092651367,18.020832538604736
64,20.399999618530273,17.395836114883423
65,20.999997854232788,18.12499761581421
66,20.249998569488525,17.916667461395264
67,19.90000009536743,17.604166269302368
68,20.05000114440918,18.020832538604736
69,21.050000190734863,17.291665077209473
70,17.84999966621399,17.604166269302368
71,19.249999523162842,16.66666865348816
72,20.95000147819519,19.79166865348816
73,19.499999284744263,18.020832538604736
74,18.09999942779541,17.916667461395264
75,19.349998235702515,17.395836114883423
76,19.499999284744263,18.541663885116577
77,22.25000262260437,19.166666269302368
78,19.700002670288086,19.79166865348816
79,19.65000033378601,17.291665077209473
80,21.35000228881836,19.895833730697632
81,15.10000228881836,14.895832538604736
82,18.949997425079346,16.041666269302368
83,20.3000009059906,17.500001192092896
84,20.45000195503235,17.916667461395264
85,21.149998903274536,18.645834922790527
86,19.950002431869507,18.333333730697632
87,21.74999713897705,18.22916865348816
88,19.849997758865356,17.500001192092896
89,21.149998903274536,19.166666269302368
90,21.399998664855957,17.291665077209473
91,21.149998903274536,17.1875
92,20.3000009059906,18.541663885116577
93,21.649998426437378,18.645834922790527
94,20.999997854232788,18.958336114883423
95,20.800000429153442,17.70833134651184
96,22.14999794960022,17.81250238418579
97,20.800000429153442,19.27083134651184
98,21.700000762939453,19.79166865348816
99,21.8500018119812,17.916667461395264
100,21.450001001358032,18.22916865348816
101,15.850001573562622,14.687502384185791
102,19.950002431869507,18.541663885116577
103,18.199998140335083,17.604166269302368
104,18.900001049041748,18.645834922790527
105,21.10000252723694,19.37500238418579
106,17.350000143051147,15.937501192092896
107,20.749998092651367,19.166666269302368
108,21.8999981880188,19.166666269302368
109,19.40000057220459,16.041666269302368
110,19.80000138282776,18.437498807907104
111,20.249998569488525,17.604166269302368
112,20.749998092651367,18.541663885116577
113,19.950002431869507,19.166666269302368
114,21.799999475479126,18.020832538604736
115,21.60000205039978,19.583332538604736
116,22.049999237060547,19.37500238418579
117,19.700002670288086,16.041666269302368
118,22.50000238418579,20.520836114883423
119,22.00000286102295,19.895833730697632
120,21.35000228881836,19.062501192092896
121,16.449999809265137,14.999997615814209
122,18.34999918937683,16.14583134651184
123,19.450002908706665,17.291665077209473
124,19.700002670288086,17.604166269302368
125,19.599997997283936,18.645834922790527
126,19.65000033378601,16.979163885116577
127,20.850002765655518,18.645834922790527
128,22.00000286102295,18.541663885116577
129,21.24999761581421,20.104163885116577
130,20.499998331069946,18.22916865348816
131,20.399999618530273,18.75
132,19.349998235702515,17.604166269302368
133,22.049999237060547,18.75
134,18.400001525878906,17.291665077209473
135,18.550002574920654,16.66666865348816
136,18.699997663497925,16.041666269302368
137,19.15000081062317,16.979163885116577
138,16.79999828338623,16.25000238418579
139,18.949997425079346,17.083334922790527
140,20.3499972820282,17.70833134651184
141,20.05000114440918,18.22916865348816
142,20.499998331069946,17.500001192092896
143,20.200002193450928,17.291665077209473
144,20.3000009059906,18.020832538604736
145,19.300001859664917,17.1875
146,21.35000228881836,18.22916865348816
147,21.24999761581421,18.958336114883423
148,15.549999475479126,14.791667461395264
149,18.99999976158142,17.70833134651184
150,20.59999704360962,18.958336114883423
151,19.499999284744263,18.333333730697632
152,21.799999475479126,19.062501192092896
153,19.749999046325684,18.22916865348816
154,17.949998378753662,18.22916865348816
155,19.450002908706665,16.56249761581421
156,20.899999141693115,17.81250238418579
157,20.59999704360962,18.541663885116577
158,20.800000429153442,18.645834922790527
159,20.200002193450928,19.27083134651184
160,21.399998664855957,18.75
161,23.350000381469727,20.3125
162,20.099997520446777,19.37500238418579
163,18.199998140335083,18.22916865348816
164,20.05000114440918,20.3125
165,21.950000524520874,20.3125
166,20.800000429153442,18.645834922790527
167,21.10000252723694,20.104163885116577
168,22.50000238418579,19.27083134651184
169,22.00000286102295,19.895833730697632
170,21.299999952316284,19.999998807907104
171,23.549997806549072,21.041667461395264
172,20.95000147819519,21.145832538604736
173,20.55000066757202,18.958336114883423
174,19.700002670288086,20.208334922790527
175,21.950000524520874,21.24999761581421
176,22.350001335144043,20.3125
177,20.899999141693115,20.416665077209473
178,22.00000286102295,21.145832538604736
179,23.29999804496765,20.93750238418579
180,22.450000047683716,21.666663885116577
181,19.849997758865356,17.500001192092896
182,22.699999809265137,19.68749761581421
183,21.8999981880188,18.541663885116577
184,22.79999852180481,19.166666269302368
185,23.250001668930054,19.895833730697632
186,22.299998998641968,20.3125
187,22.14999794960022,19.062501192092896
188,16.94999933242798,17.291665077209473
189,19.950002431869507,18.437498807907104
190,21.299999952316284,19.895833730697632
191,21.549999713897705,19.166666269302368
192,21.649998426437378,19.37500238418579
193,21.8999981880188,19.479167461395264
194,23.650002479553223,17.604166269302368
195,23.69999885559082,18.22916865348816
196,22.949999570846558,18.75
197,21.8500018119812,19.062501192092896
198,21.20000123977661,20.83333134651184
199,22.350001335144043,19.479167461395264
200,18.550002574920654,15.625
201,20.59999704360962,19.27083134651184
202,18.300002813339233,16.354167461395264
203,19.349998235702515,18.22916865348816
204,19.80000138282776,18.12499761581421
205,21.24999761581421,18.958336114883423
206,19.999998807907104,18.645834922790527
207,20.05000114440918,18.854165077209473
208,22.14999794960022,18.958336114883423
209,21.799999475479126,18.958336114883423
210,21.399998664855957,18.020832538604736
211,22.54999876022339,19.68749761581421
212,21.649998426437378,20.416665077209473
213,24.900001287460327,20.104163885116577
214,23.900002241134644,19.37500238418579
215,23.750001192092896,20.729166269302368
216,20.3000009059906,19.895833730697632
217,22.299998998641968,21.562498807907104
218,22.25000262260437,21.458333730697632
219,21.950000524520874,21.875
220,17.04999804496765,15.729165077209473
221,21.700000762939453,18.645834922790527
222,20.749998092651367,18.854165077209473
223,16.79999828338623,15.729165077209473
224,19.749999046325684,17.291665077209473
225,18.400001525878906,18.333333730697632
226,17.100000381469727,17.395836114883423
227,20.099997520446777,18.22916865348816
228,20.499998331069946,18.75
229,20.099997520446777,18.645834922790527
230,20.099997520446777,19.583332538604736
231,20.850002765655518,19.68749761581421
232,20.3499972820282,20.104163885116577
233,20.499998331069946,19.79166865348816
234,21.8500018119812,20.104163885116577
235,20.55000066757202,20.416665077209473
236,19.550001621246338,17.81250238418579
237,19.199997186660767,17.70833134651184
238,19.550001621246338,19.583332538604736
239,19.599997997283936,18.645834922790527
240,20.249998569488525,18.437498807907104
241,19.849997758865356,18.645834922790527
242,20.649999380111694,19.062501192092896
243,21.299999952316284,18.22916865348816
244,20.850002765655518,20.416665077209473
245,19.300001859664917,19.79166865348816
246,20.499998331069946,19.895833730697632
247,21.549999713897705,20.520836114883423
248,20.850002765655518,20.416665077209473
249,20.649999380111694,19.999998807907104
250,22.049999237060547,20.93750238418579
251,21.74999713897705,20.3125
252,20.649999380111694,20.83333134651184
253,23.250001668930054,21.24999761581421
254,23.799997568130493,20.208334922790527
255,21.74999713897705,20.3125
256,15.600001811981201,14.479166269302368
257,23.000001907348633,20.208334922790527
258,20.499998331069946,18.12499761581421
259,17.100000381469727,15.208333730697632
260,19.099998474121094,17.70833134651184
261,18.550002574920654,17.395836114883423
262,16.39999747276306,13.437497615814209
263,20.55000066757202,15.833336114883423
264,20.3000009059906,16.14583134651184
265,20.800000429153442,16.56249761581421
266,20.55000066757202,16.56249761581421
267,20.55000066757202,17.500001192092896
268,21.399998664855957,19.895833730697632
269,21.399998664855957,19.68749761581421
270,22.350001335144043,18.958336114883423
271,20.850002765655518,18.854165077209473
272,12.900000810623169,16.14583134651184
273,18.09999942779541,18.854165077209473
274,20.850002765655518,20.416665077209473
275,21.299999952316284,21.145832538604736
276,23.250001668930054,20.3125
277,23.799997568130493,20.625001192092896
278,23.19999933242798,20.93750238418579
279,22.600001096725464,20.520836114883423
280,23.350000381469727,21.145832538604736
281,23.549997806549072,19.68749761581421
282,22.25000262260437,21.041667461395264
283,18.650001287460327,18.75
284,20.649999380111694,20.208334922790527
285,24.000000953674316,20.416665077209473
286,22.100001573562622,18.75
287,22.899997234344482,19.27083134651184
288,21.8500018119812,19.895833730697632
289,22.39999771118164,20.208334922790527
290,24.09999966621399,20.208334922790527
291,25.099998712539673,21.041667461395264
292,23.100000619888306,21.875
293,24.199998378753662,21.875
294,24.75000023841858,20.93750238418579
295,24.150002002716064,21.041667461395264
296,22.100001573562622,19.68749761581421
297,24.849998950958252,20.3125
298,25.24999976158142,20.3125
299,24.199998378753662,21.875
300,25.050002336502075,21.35416865348816
301,23.500001430511475,21.562498807907104
302,22.100001573562622,19.999998807907104
303,21.10000252723694,18.22916865348816
304,22.299998998641968,21.458333730697632
305,21.8999981880188,20.93750238418579
306,23.69999885559082,20.520836114883423
307,24.849998950958252,21.979165077209473
308,25.599998235702515,20.93750238418579
309,23.500001430511475,20.729166269302368
310,23.100000619888306,18.645834922790527
311,22.600001096725464,19.479167461395264
312,21.799999475479126,21.041667461395264
313,24.550002813339233,23.020833730697632
314,24.400001764297485,20.729166269302368
315,23.04999828338623,19.999998807907104
316,22.450000047683716,20.3125
317,24.449998140335083,21.145832538604736
318,25.300002098083496,22.187501192092896
319,24.650001525878906,21.666663885116577
320,24.500000476837158,20.625001192092896
321,24.000000953674316,22.39583134651184
322,22.850000858306885,20.625001192092896
323,25.0,23.124998807907104
324,25.999999046325684,22.187501192092896
325,24.199998378753662,22.50000238418579
326,24.59999918937683,24.06250238418579
327,24.09999966621399,22.083336114883423
328,26.80000066757202,23.854166269302368
329,26.5500009059906,22.604167461395264
330,27.45000123977661,22.708332538604736
331,26.249998807907104,23.020833730697632
332,25.950002670288086,22.91666865348816
333,24.800002574920654,21.458333730697632
334,26.15000009536743,23.4375
335,26.499998569488525,21.562498807907104
336,25.349998474121094,22.291666269302368
337,25.349998474121094,22.708332538604736
338,23.750001192092896,20.93750238418579
339,27.799999713897705,24.47916865348816
340,24.500000476837158,22.604167461395264
341,26.899999380111694,23.020833730697632
342,26.249998807907104,24.47916865348816
343,27.399998903274536,23.020833730697632
344,19.950002431869507,19.68749761581421
345,26.099997758865356,23.333334922790527
346,25.050002336502075,21.458333730697632
347,25.050002336502075,24.583333730697632
348,26.099997758865356,23.95833134651184
349,26.249998807907104,23.020833730697632
350,26.200002431869507,23.229163885116577
351,26.5999972820282,22.50000238418579
352,25.700002908706665,21.458333730697632
353,27.399998903274536,24.06250238418579
354,28.1000018119812,23.020833730697632
355,26.899999380111694,23.020833730697632
356,25.950002670288086,22.81249761581421
357,25.999999046325684,22.81249761581421
358,27.49999761581421,23.333334922790527
359,26.30000114440918,22.708332538604736
360,25.65000057220459,22.604167461395264
361,26.5999972820282,23.541665077209473
362,27.249997854232788,23.4375
363,27.399998903274536,22.81249761581421
364,28.1000018119812,23.020833730697632
365,27.950000762939453,24.270832538604736
366,27.35000252723694,23.854166269302368
367,27.249997854232788,22.91666865348816
368,24.900001287460327,21.666663885116577
369,26.05000138282776,23.229163885116577
370,21.149998903274536,19.79166865348816
371,26.999998092651367,23.124998807907104
372,26.5500009059906,22.50000238418579
373,20.59999704360962,18.75
374,29.40000295639038,24.687498807907104
375,25.90000033378601,24.166667461395264
376,27.74999737739563,23.541665077209473
377,28.25000286102295,23.750001192092896
378,20.499998331069946,19.166666269302368
379,25.24999976158142,21.145832538604736
380,26.200002431869507,22.39583134651184
381,26.749998331069946,22.81249761581421
382,28.39999794960022,23.333334922790527
383,27.149999141693115,22.708332538604736
384,27.74999737739563,23.854166269302368
385,28.200000524520874,23.645836114883423
386,28.299999237060547,23.020833730697632
387,27.85000205039978,23.229163885116577
